recency,history,mens,womens,newbie,zip_code,channel,segment,treatment,visit,conversion,spend,uplift_score,p_t,p_c,uplift_segment
10,142.44,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.00580775,0.07781478,0.07200703,Needs Attention
6,329.08,1,1,1,Rural,Web,No E-Mail,0,0,0,0.0,-0.07875045,0.1712694,0.25001985,Lost Causes
7,180.65,0,1,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.074460775,0.13846636,0.06400558,Sure Things
2,45.34,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.018181577,0.14836149,0.13017991,Needs Attention
6,134.83,0,1,0,Surburban,Phone,Womens E-Mail,1,1,0,0.0,0.08044331,0.16767319,0.08722988,Persuadables
9,280.2,1,0,1,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.016008114,0.04624721,0.030239096,Needs Attention
9,46.42,0,1,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.09592925,0.1355365,0.039607257,Persuadables
10,32.84,0,1,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.059069,0.09577115,0.03670215,Sure Things
7,548.91,0,1,1,Urban,Phone,Womens E-Mail,1,1,0,0.0,0.14160515,0.19890812,0.057302963,Persuadables
1,211.45,0,1,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.04602108,0.11119454,0.06517346,Sure Things
5,642.9,0,1,1,Surburban,Multichannel,Womens E-Mail,1,0,0,0.0,0.052142635,0.13143013,0.0792875,Sure Things
4,241.42,0,1,1,Rural,Multichannel,No E-Mail,0,0,0,0.0,-0.019903027,0.09141236,0.111315385,Lost Causes
3,58.13,1,0,1,Urban,Web,No E-Mail,0,1,0,0.0,0.040409453,0.13443363,0.094024174,Needs Attention
9,29.99,0,1,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.07179883,0.084766015,0.012967181,Sure Things
2,29.99,0,1,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.06982297,0.12349529,0.053672325,Sure Things
4,78.24,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.021688111,0.11043262,0.088744506,Needs Attention
7,435.73,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.07193147,0.14477773,0.07284626,Sure Things
2,203.35,1,0,0,Rural,Web,No E-Mail,0,0,0,0.0,0.021585554,0.22454406,0.20295851,Needs Attention
2,237.53,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.02825129,0.17217317,0.14392188,Needs Attention
3,29.99,1,0,0,Rural,Web,Womens E-Mail,1,0,0,0.0,-0.035642713,0.20631531,0.24195802,Lost Causes
4,218.72,0,1,0,Urban,Multichannel,Womens E-Mail,1,0,0,0.0,0.009834103,0.13049722,0.120663114,Needs Attention
10,63.79,1,0,1,Rural,Phone,Womens E-Mail,1,0,0,0.0,0.017755453,0.06490694,0.047151487,Needs Attention
9,204.18,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.07876805,0.1888421,0.11007405,Sure Things
2,492.02,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.014797047,0.14533535,0.1305383,Needs Attention
1,48.32,0,1,0,Urban,Web,No E-Mail,0,0,0,0.0,0.14211053,0.29591212,0.15380159,Persuadables
10,29.99,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.026545875,0.081376165,0.05483029,Needs Attention
2,391.33,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.030957595,0.19961372,0.16865613,Needs Attention
3,134.59,1,0,1,Urban,Phone,Womens E-Mail,1,1,0,0.0,0.031224996,0.08190299,0.050677992,Needs Attention
10,61.09,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.06713543,0.16458224,0.09744681,Sure Things
3,203.3,0,1,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.0380401,0.1841651,0.146125,Needs Attention
12,150.06,0,1,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.091686,0.16421999,0.07253399,Persuadables
6,42.66,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.006289579,0.11241822,0.10612864,Needs Attention
12,69.08,0,1,0,Rural,Phone,Womens E-Mail,1,0,0,0.0,0.07418692,0.16643086,0.09224394,Sure Things
3,549.29,1,0,1,Surburban,Multichannel,No E-Mail,0,0,0,0.0,0.05090291,0.13166572,0.08076281,Sure Things
3,143.93,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.053782173,0.17093578,0.11715361,Sure Things
2,96.91,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.061226532,0.14397167,0.082745135,Sure Things
11,417.21,0,1,0,Urban,Phone,No E-Mail,0,0,0,0.0,0.19729482,0.27883103,0.08153622,Persuadables
9,61.57,1,0,1,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.011857653,0.028282586,0.016424933,Needs Attention
5,222.07,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.025218256,0.14588676,0.12066851,Needs Attention
1,259.91,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.07289339,0.19087887,0.11798548,Sure Things
11,53.81,1,0,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.008503621,0.025387203,0.016883582,Needs Attention
10,1009.44,1,0,1,Surburban,Multichannel,Womens E-Mail,1,0,0,0.0,-0.052015454,0.06855075,0.120566204,Lost Causes
10,31.12,1,0,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.0383928,0.08334553,0.04495273,Needs Attention
7,612.28,1,0,1,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.0013101771,0.07377007,0.07245989,Needs Attention
11,228.09,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.08170234,0.14424857,0.06254624,Persuadables
4,194.11,1,0,0,Urban,Phone,No E-Mail,0,0,0,0.0,-0.03378412,0.0829575,0.11674162,Lost Causes
7,84.49,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.11658359,0.172959,0.056375407,Persuadables
2,95.33,0,1,0,Surburban,Web,No E-Mail,0,1,0,0.0,-0.03778024,0.20773116,0.2455114,Lost Causes
1,80.42,0,1,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.050242238,0.12365577,0.073413536,Sure Things
10,237.85,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,-0.029462732,0.1003407,0.12980343,Lost Causes
2,82.59,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.04006342,0.13843633,0.098372914,Needs Attention
6,165.77,0,1,0,Urban,Web,Womens E-Mail,1,1,0,0.0,0.08096826,0.23252212,0.15155385,Persuadables
3,101.61,0,1,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.10258129,0.1463332,0.043751914,Persuadables
8,52.64,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.07237387,0.12687807,0.0545042,Sure Things
3,1973.87,1,0,1,Surburban,Multichannel,No E-Mail,0,0,0,0.0,-0.004309565,0.14674653,0.1510561,Lost Causes
1,47.44,0,1,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.082540326,0.18409786,0.10155753,Persuadables
1,106.27,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.1601595,0.29069358,0.13053408,Persuadables
11,215.46,0,1,0,Urban,Web,Womens E-Mail,1,0,0,0.0,-0.02275987,0.16053016,0.18329003,Lost Causes
11,189.25,0,1,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.051113386,0.0765752,0.025461812,Sure Things
10,108.12,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,-0.0036443546,0.106285125,0.10992948,Lost Causes
8,66.14,1,0,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.015504919,0.0457312,0.030226283,Needs Attention
8,98.56,1,0,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.019790098,0.092197515,0.07240742,Needs Attention
6,129.14,1,0,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,-0.011092126,0.103631526,0.11472365,Lost Causes
2,493.17,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.0020898134,0.2473936,0.24530378,Needs Attention
12,29.99,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.08103502,0.12143948,0.040404458,Persuadables
2,66.6,1,0,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.012196567,0.06707621,0.054879647,Needs Attention
12,129.73,1,0,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,-0.014696784,0.080072954,0.09476974,Lost Causes
4,54.41,0,1,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.0723196,0.106603555,0.03428396,Sure Things
2,287.04,1,1,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.06326181,0.19811355,0.13485174,Sure Things
4,29.99,0,1,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.09099157,0.1427855,0.051793937,Persuadables
9,151.01,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.0158092,0.09701942,0.08121022,Needs Attention
5,84.17,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.029665664,0.11273796,0.0830723,Needs Attention
3,313.6,0,1,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.048292518,0.18784705,0.13955453,Sure Things
5,29.99,0,1,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.09013905,0.22785541,0.13771637,Persuadables
3,1167.93,1,1,1,Rural,Web,Womens E-Mail,1,0,0,0.0,0.111990035,0.34226692,0.23027688,Persuadables
3,683.2,1,1,1,Rural,Multichannel,No E-Mail,0,0,0,0.0,0.0805783,0.3858575,0.3052792,Persuadables
1,102.94,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.03250131,0.17497496,0.14247365,Needs Attention
1,418.68,0,1,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.12773147,0.2794572,0.15172574,Persuadables
12,253.06,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.053897135,0.1521196,0.09822247,Sure Things
9,329.96,0,1,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.04048471,0.06571029,0.025225582,Needs Attention
11,52.08,0,1,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.043841198,0.15576723,0.111926034,Sure Things
9,123.39,1,0,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.003821522,0.06567755,0.06185603,Needs Attention
3,249.71,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.0275115,0.13448238,0.106970884,Needs Attention
2,46.09,0,1,0,Urban,Web,No E-Mail,0,0,0,0.0,0.029048443,0.19941266,0.17036422,Needs Attention
10,77.37,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.011827193,0.07654923,0.06472204,Needs Attention
4,270.24,1,0,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.0073003247,0.08231496,0.075014636,Needs Attention
3,80.18,0,1,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.025313452,0.1533249,0.12801145,Needs Attention
11,131.76,0,1,1,Surburban,Web,Womens E-Mail,1,1,0,0.0,0.06922079,0.11667985,0.04745906,Sure Things
3,29.99,0,1,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.06985478,0.22427294,0.15441816,Sure Things
7,59.96,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.037553728,0.106901325,0.0693476,Needs Attention
7,78.49,0,1,0,Rural,Web,Womens E-Mail,1,0,0,0.0,0.12624052,0.22643864,0.10019812,Persuadables
7,206.8,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,-0.012649775,0.102363974,0.11501375,Lost Causes
1,439.93,1,1,1,Rural,Multichannel,No E-Mail,0,0,0,0.0,0.045741856,0.2992807,0.25353885,Sure Things
10,313.67,1,0,1,Rural,Phone,Womens E-Mail,1,1,0,0.0,-0.007290609,0.09223288,0.09952349,Lost Causes
7,29.99,1,0,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.011925474,0.069407515,0.05748204,Needs Attention
3,57.33,0,1,0,Surburban,Web,Womens E-Mail,1,1,0,0.0,0.13329144,0.26085407,0.12756263,Persuadables
2,289.55,0,1,0,Rural,Phone,No E-Mail,0,1,0,0.0,-0.04905434,0.23717456,0.2862289,Lost Causes
9,274.29,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.029043525,0.15570095,0.12665743,Needs Attention
1,293.37,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,-0.0078008473,0.19157974,0.19938059,Lost Causes
12,29.99,1,0,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.021915657,0.033265423,0.011349766,Needs Attention
1,407.09,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,-0.0005839169,0.19388501,0.19446893,Lost Causes
1,142.4,0,1,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.12716642,0.22707243,0.099906005,Persuadables
2,60.2,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.058810182,0.15702009,0.09820991,Sure Things
7,29.99,1,0,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.011925474,0.069407515,0.05748204,Needs Attention
1,747.31,0,1,1,Rural,Web,Womens E-Mail,1,0,0,0.0,0.089108646,0.20100513,0.111896485,Persuadables
6,136.63,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.046843078,0.10521404,0.05837096,Sure Things
10,29.99,1,0,1,Rural,Web,Womens E-Mail,1,0,0,0.0,-0.022284538,0.07067357,0.09295811,Lost Causes
